filename ,subjectNo ,verification ,age,Gender,Ethnicity,device,experimentDuration ,videoOrder,treatmentLabel ,videoLabel ,targetLabel ,face0 ,face1 ,face2 ,face3 ,face4 ,face5 ,videoCheck ,PreIDconfidence ,faceSelected ,confidence ,attentionCheckSelected ,correct,SaidAbsentOrPresent,videoCheck,attentionCheck,completedTwice,include
ucsd_1,37,rfb0yc0pmi996bt9,20,Female,Asian,Laptop/Computer,714203,2,showup,graffiti,absent,graffiti_showup_innocentsuspect,,,,,,,100,no,70,one,1,Absent,, ,,yes
ucsd_1,38,v5masgyv4inhr529,20,Male,Other,Laptop/Computer,752833,1,showup,graffiti,absent,graffiti_showup_innocentsuspect,,,,,,no,100,no,100,one,1,Absent,, ,,yes
ucsd_1,38,hwgiz50w0t7,20,Female,Asian,Laptop/Computer,18704647,1,showup,graffiti,absent,graffiti_showup_innocentsuspect,,,,,,no problem at all,70,no,40,one,1,Absent,, ,,yes
ucsd_1,38,v5masgyv4inhr529,20,Male,Other,Laptop/Computer,752833,2,showup,mugging,present,mugging_showup_perpetrator,,,,,,no,50,no,90,two,0,Absent,, ,,yes
ucsd_1,38,hwgiz50w0t7,20,Female,Asian,Laptop/Computer,18704647,2,showup,mugging,present,mugging_showup_perpetrator,,,,,,no problem,60,yes,40,two,1,Present,, ,,yes
ucsd_1,39,6ms53bhvyzq,20,Female,Caucasian,Laptop/Computer,740841,1,showup,mugging,absent,mugging_showup_innocentsuspect,,,,,,"it would not load,  the entire time the screen was black. ",0,no,0,two,1,Absent,1, ,,no
ucsd_1,39,6ms53bhvyzq,20,Female,Caucasian,Laptop/Computer,740841,2,showup,graffiti,present,graffiti_showup_perpetrator,,,,,,no issues,70,yes,80,one,1,Present,1, ,,no
ucsd_1,44,5cead4a2n7ory66r,20,Female,Asian,Laptop/Computer,861538,1,showup,graffiti,present,graffiti_showup_perpetrator,,,,,,,60,no,30,one,0,Absent,, ,,yes
ucsd_1,44,5cead4a2n7ory66r,20,Female,Asian,Laptop/Computer,861538,2,showup,mugging,absent,mugging_showup_innocentsuspect,,,,,,,60,no,50,two,1,Absent,, ,,yes
ucsd_1,45,jttjx7j0jclvunmi,19,Male,Asian,Phone,875113,1,showup,mugging,present,mugging_showup_perpetrator,,,,,,,40,yes,50,two,1,Present,, ,,yes
ucsd_1,45,jttjx7j0jclvunmi,19,Male,Asian,Phone,875113,2,showup,graffiti,absent,graffiti_showup_innocentsuspect,,,,,,,80,no,70,one,1,Absent,, ,,yes
ucsd_1,46,43qjieg4bh2,20,Male,African-American,Laptop/Computer,859688,1,showup,graffiti,absent,graffiti_showup_innocentsuspect,,,,,,The technical difficulty occurred within the first few seconds of the video. The man with the spray paint was appearing in front of the video.,80,no,90,one,1,Absent,, ,,yes
ucsd_1,46,43qjieg4bh2,20,Male,African-American,Laptop/Computer,859688,2,showup,mugging,present,mugging_showup_perpetrator,,,,,,no i don't think i did,80,no,80,two,0,Absent,, ,,yes
ucsd_1,47,hazauskrc606n7b9,21,Female,Asian,Laptop/Computer,739520,1,showup,mugging,absent,mugging_showup_innocentsuspect,,,,,,,70,yes,70,two,0,Present,, ,,yes
ucsd_1,47,hazauskrc606n7b9,21,Female,Asian,Laptop/Computer,739520,2,showup,graffiti,present,graffiti_showup_perpetrator,,,,,,,50,yes,80,one,1,Present,, ,,yes
ucsd_1,52,y87klixupm6n,20,Female,Latino,Laptop/Computer,962353,1,showup,graffiti,present,graffiti_showup_perpetrator,,,,,,,80,no,40,one,0,Absent,, ,,yes
ucsd_1,52,y87klixupm6n,20,Female,Latino,Laptop/Computer,962353,2,showup,mugging,absent,mugging_showup_innocentsuspect,,,,,,,60,yes,30,two,0,Present,, ,,yes
ucsd_1,53,blvlku7ni946xbt9,18,Male,Asian,Laptop/Computer,676518,1,showup,mugging,present,mugging_showup_perpetrator,,,,,,,80,yes,50,two,1,Present,, ,,yes
ucsd_1,53,blvlku7ni946xbt9,18,Male,Asian,Laptop/Computer,676518,2,showup,graffiti,absent,graffiti_showup_innocentsuspect,,,,,,,90,no,90,one,1,Absent,, ,,yes
ucsd_1,54,guzoh0eukwm0wwmi,19,Female,Asian,Laptop/Computer,724983,1,showup,graffiti,absent,graffiti_showup_innocentsuspect,,,,,,I did not encounter any technical issue,80,no,60,one,1,Absent,, ,,yes
ucsd_1,54,guzoh0eukwm0wwmi,19,Female,Asian,Laptop/Computer,724983,2,showup,mugging,present,mugging_showup_perpetrator,,,,,,I did not encounter any technical issue,80,yes,80,two,1,Present,, ,,yes
ucsd_1,55,mz7wfsd5w9i9t3xr,19,Male,Asian,Phone,814196,1,showup,mugging,absent,mugging_showup_innocentsuspect,,,,,,,50,no,40,two,1,Absent,, ,,yes
ucsd_1,55,mz7wfsd5w9i9t3xr,19,Male,Asian,Phone,814196,2,showup,graffiti,present,graffiti_showup_perpetrator,,,,,,,50,yes,80,one,1,Present,, ,,yes
ucsd_1,60,d8843glx8sv,19,Female,Asian,Laptop/Computer,811015,1,showup,graffiti,present,graffiti_showup_perpetrator,,,,,,,100,no,80,one,0,Absent,, ,,yes
ucsd_1,60,d8843glx8sv,19,Female,Asian,Laptop/Computer,811015,2,showup,mugging,absent,mugging_showup_innocentsuspect,,,,,,,60,no,70,two,1,Absent,, ,,yes
ucsd_1,61,ia7jq7k7j3g9o1or,22,Female,Other,Laptop/Computer,717196,1,showup,mugging,present,mugging_showup_perpetrator,,,,,,None,90,no,70,two,0,Absent,, ,,yes
ucsd_1,61,ia7jq7k7j3g9o1or,22,Female,Other,Laptop/Computer,717196,2,showup,graffiti,absent,graffiti_showup_innocentsuspect,,,,,,NONE,90,no,80,one,1,Absent,, ,,yes
ucsd_1,62,pw5efwsfyor8jjor,21,Female,Caucasian,Laptop/Computer,738393,1,showup,graffiti,absent,graffiti_showup_innocentsuspect,,,,,,,20,no,30,one,1,Absent,, ,,yes
