filename ,subjectID,verification ,age,Gender,Ethnicity,device,experimentDuration ,videoOrder,treatmentLabel ,videoLabel ,targetLabel ,face0 ,face1 ,face2 ,face3 ,face4 ,face5 ,videoCheck ,PreIDconfidence ,faceSelected ,confidence ,attentionCheckSelected ,correct,SaidAbsentOrPresent,videoCheck,attentionCheck,completedTwice,include
ucsd_2,43,coua9lwd7ktke29,19,Male,Caucasian,Laptop/Computer,799026,2,simultaneousShowup,graffiti,absent,graffiti_lineup_2,graffiti_lineup_5,graffiti_lineup_3,graffiti_lineup_innocentsuspect,graffiti_lineup_4,graffiti_lineup_1,,80,no,80,one,1,Absent,, ,,yes
ucsd_2,43,coua9lwd7ktke29,19,Male,Caucasian,Laptop/Computer,799026,1,simultaneousShowup,mugging,present,mugging_lineup_3,mugging_lineup_2,mugging_lineup_1,mugging_lineup_perpetrator,mugging_lineup_5,mugging_lineup_4,,80,yes,90,two,1,Present,, ,,yes
ucsd_2,44,y0cind378ro,24,Male,Asian,Laptop/Computer,789731,2,simultaneousShowup,mugging,present,mugging_lineup_5,mugging_lineup_2,mugging_lineup_4,mugging_lineup_1,mugging_lineup_perpetrator,mugging_lineup_3,Not at all,50,no,100,two,0,Absent,, ,,yes
ucsd_2,44,y0cind378ro,24,Male,Asian,Laptop/Computer,789731,1,simultaneousShowup,graffiti,absent,graffiti_lineup_4,graffiti_lineup_innocentsuspect,graffiti_lineup_5,graffiti_lineup_3,graffiti_lineup_2,graffiti_lineup_1,I encountered no technical issues.,50,yes,70,one,0,Present,, ,,yes
ucsd_2,45,wxbprrdcwq5pcik9,Decline,Male,Asian,Laptop/Computer,811667,2,simultaneousShowup,graffiti,present,graffiti_lineup_perpetrator,graffiti_lineup_1,graffiti_lineup_5,graffiti_lineup_2,graffiti_lineup_4,graffiti_lineup_3,,70,yes,60,one,1,Present,, ,,yes
ucsd_2,45,wxbprrdcwq5pcik9,Decline,Male,Asian,Laptop/Computer,811667,1,simultaneousShowup,mugging,absent,mugging_lineup_4,mugging_lineup_5,mugging_lineup_1,mugging_lineup_innocentsuspect,mugging_lineup_3,mugging_lineup_2,,80,yes,70,two,0,Present,, ,,yes
ucsd_2,46,3fblydoy2jxos9k9,21,Female,Asian,Laptop/Computer,731869,2,showup,mugging,absent,mugging_showup_innocentsuspect,,,,,,,40,no,50,two,1,Absent,, ,,yes
ucsd_2,46,3fblydoy2jxos9k9,21,Female,Asian,Laptop/Computer,731869,1,showup,graffiti,present,graffiti_showup_perpetrator,,,,,,,50,yes,70,one,1,Present,, ,,yes
ucsd_2,47,qbxh7668b6ip,20,Male,Asian,Laptop/Computer,843078,2,showup,graffiti,absent,graffiti_showup_innocentsuspect,,,,,,,100,no,80,one,1,Absent,, ,,yes
ucsd_2,47,qbxh7668b6ip,20,Male,Asian,Laptop/Computer,843078,1,showup,mugging,present,mugging_showup_perpetrator,,,,,,,100,yes,100,two,1,Present,, ,,yes
ucsd_2,48,7kedww6hultprpb9,18,Female,Asian,Laptop/Computer,751374,1,showup,graffiti,absent,graffiti_showup_innocentsuspect,,,,,,"I think the video paused for a second or so,  but it wasn't that big of a technical problem.",60,no,60,one,1,Absent,, ,,yes
ucsd_2,48,7kedww6hultprpb9,18,Female,Asian,Laptop/Computer,751374,2,showup,mugging,present,mugging_showup_perpetrator,,,,,,no technical problems,70,yes,60,two,1,Present,, ,,yes
ucsd_2,49,n9ckhqgyvdq85mi,19,Female,Asian,Laptop/Computer,819398,2,simultaneousShowup,mugging,absent,mugging_lineup_5,mugging_lineup_2,mugging_lineup_1,mugging_lineup_3,mugging_lineup_4,mugging_lineup_innocentsuspect,no technical difficulties,70,no,90,two,1,Absent,, ,,yes
ucsd_2,49,n9ckhqgyvdq85mi,19,Female,Asian,Laptop/Computer,819398,1,simultaneousShowup,graffiti,present,graffiti_lineup_4,graffiti_lineup_2,graffiti_lineup_5,graffiti_lineup_3,graffiti_lineup_1,graffiti_lineup_perpetrator,no technical problems,70,no,50,one,0,Absent,, ,,yes
ucsd_2,50,61ljulcua8j8aor,21,Female,Filipino,Laptop/Computer,782853,1,simultaneousShowup,mugging,present,mugging_lineup_1,mugging_lineup_5,mugging_lineup_4,mugging_lineup_2,mugging_lineup_3,mugging_lineup_perpetrator,No technical problems. ,50,no,60,two,0,Absent,, ,,yes
ucsd_2,50,61ljulcua8j8aor,21,Female,Filipino,Laptop/Computer,782853,2,simultaneousShowup,graffiti,absent,graffiti_lineup_4,graffiti_lineup_1,graffiti_lineup_5,graffiti_lineup_3,graffiti_lineup_innocentsuspect,graffiti_lineup_2,No technical problems. ,50,no,60,one,1,Absent,, ,,yes
