filename ,subjectID,verification ,age,Gender,Ethnicity,device,experimentDuration ,videoOrder,treatmentLabel ,videoLabel ,targetLabel ,face0 ,face1 ,face2 ,face3 ,face4 ,face5 ,videoCheck ,SeenBefore,faceSelected ,confidence ,attentionCheckSelected ,correct,SaidAbsentOrPresent,videoCheck,attentionCheck,completedTwice,SeenCheck,include
ucsd_5,41,yt6pii0ny6om9q92mfu1munmi,20,Male,Asian,Laptop/Computer,730535,2,showup,mugging,absent,mugging_innocent_29,,,,,,no,No,no,100,two,1,Absent,, ,,,yes
ucsd_5,41,yt6pii0ny6om9q92mfu1munmi,20,Male,Asian,Laptop/Computer,730535,1,showup,graffiti,present,graffiti_showup_perpetrator,,,,,,no,No,yes,90,one,1,Present,, ,,,yes
ucsd_5,42,o10aomtmt5752494b7whlg14i,19,Male,Latino,Laptop/Computer,796834,2,showup,graffiti,absent,graffiti_innocent_32,,,,,,,No,yes,80,one,0,Present,, ,,,yes
ucsd_5,42,o10aomtmt5752494b7whlg14i,19,Male,Latino,Laptop/Computer,796834,1,showup,mugging,present,mugging_showup_perpetrator,,,,,,,No,yes,60,two,1,Present,, ,,,yes
ucsd_5,43,avied2l1y8em3oazdqjghf47vi,20,Female,Latino,Laptop/Computer,730885,2,showup,mugging,present,mugging_showup_perpetrator,,,,,,,No,no,80,two,0,Absent,, ,,,yes
ucsd_5,43,avied2l1y8em3oazdqjghf47vi,20,Female,Latino,Laptop/Computer,730885,1,showup,graffiti,absent,graffiti_innocent_19,,,,,,,No,yes,90,one,0,Present,, ,,,yes
ucsd_5,44,o444tc3g0wi,20,Female,Caucasian,Laptop/Computer,651988,2,showup,graffiti,present,graffiti_showup_perpetrator,,,,,,No problems ,No,yes,90,one,1,Present,, ,,,yes
ucsd_5,44,o444tc3g0wi,20,Female,Caucasian,Laptop/Computer,651988,1,showup,mugging,absent,mugging_innocent_39,,,,,,No issues occured. ,No,no,80,two,1,Absent,, ,,,yes
ucsd_5,45,ft935osxtopxhueuk2kt0ggb9,18,Female,Asian,Laptop/Computer,758807,2,control,mugging,absent,mugging_control_13,mugging_innocent_35,mugging_control_30,mugging_control_23,mugging_control_27,mugging_control_31,none,No,face2,50,two,filler,Present,, ,,,yes
ucsd_5,45,ft935osxtopxhueuk2kt0ggb9,18,Female,Asian,Laptop/Computer,758807,1,control,graffiti,present,graffiti_control_17,graffiti_control_28,graffiti_control_13,graffiti_control_12,graffiti_control_perpetrator,graffiti_control_26,I did not encounter any technical problems.,No,face4,90,one,1,Present,, ,,,yes
ucsd_5,46,ixtx30y6sg20louhqi6x647vi,20,Male,Asian,Laptop/Computer,719957,2,control,graffiti,absent,graffiti_innocent_23,graffiti_control_32,graffiti_control_34,graffiti_control_26,graffiti_control_16,graffiti_control_29,,No,notpresent,100,one,1,Absent,, ,,,yes
ucsd_5,46,ixtx30y6sg20louhqi6x647vi,20,Male,Asian,Laptop/Computer,719957,1,control,mugging,present,mugging_control_22,mugging_control_31,mugging_control_13,mugging_control_perpetrator,mugging_control_29,mugging_control_23,,No,face3,100,two,1,Present,, ,,,yes
ucsd_5,47,lim652bwl0tujd3tcrkpdgqfr,19,Male,Asian,Laptop/Computer,657633,2,control,mugging,present,mugging_control_6,mugging_control_10,mugging_control_40,mugging_control_4,mugging_control_perpetrator,mugging_control_25,no,No,face4,70,two,1,Present,, ,,,yes
ucsd_5,47,lim652bwl0tujd3tcrkpdgqfr,19,Male,Asian,Laptop/Computer,657633,1,control,graffiti,absent,graffiti_control_37,graffiti_control_6,graffiti_control_32,graffiti_control_10,graffiti_innocent_1,graffiti_control_17,No,No,face4,70,one,0,Present,, ,,,yes
ucsd_5,48,1bc1sspg6kgi58lcl9dcd3rf6r,20,Female,Latino,Laptop/Computer,752129,2,control,graffiti,present,graffiti_control_perpetrator,graffiti_control_9,graffiti_control_10,graffiti_control_23,graffiti_control_32,graffiti_control_2,NO Difficulties,No,face0,80,one,1,Present,, ,,,yes
ucsd_5,48,1bc1sspg6kgi58lcl9dcd3rf6r,20,Female,Latino,Laptop/Computer,752129,1,control,mugging,absent,mugging_control_37,mugging_control_33,mugging_innocent_27,mugging_control_30,mugging_control_16,mugging_control_26,"there was no technical issue, unless it was supposed to have audio then the video was fine.",No,face0,90,two,filler,Present,, ,,,yes
ucsd_5,49,vapl182xiu,28,Male,Caucasian,Laptop/Computer,713791,2,simultaneousShowup,mugging,absent,mugging_lineup_32,mugging_lineup_7,mugging_innocent_11,mugging_lineup_6,mugging_lineup_27,mugging_lineup_8,,No,no,90,two,1,Absent,, ,,,yes
