subNum,lineupType,suspectPosition,suspectID,suspectRT,suspectConf,fill1ID,fill1RT,fill1Conf,fill2ID,fill2RT,fill2Conf,fill3ID,fill3RT,fill3Conf,fill4ID,fill4RT,fill4Conf,fill5ID,fill5RT,fill5Conf,fill6ID,fill6RT,fill6Conf
2946,Target Absent,,,,,Yes,10.56,91,No,9.692,-61,No,6.751,-70,No,6.222,-100,No,5.827,-100,No,5.684,-100
2947,Target Absent,,,,,No,3.129,-30,Yes,4.994,60,No,3.792,-30,No,3.907,-100,No,3.716,-100,No,4.255,-30
2948,Target Present,1,Yes,4.849,64,,,,No,4.323,-100,No,9.931,-93,No,4.492,-100,No,3.783,-90,No,7.577,-100
2949,Target Present,3,No,6.374,42,No,9.564,-32,No,2.299,-98,,,,No,3.851,-79,No,4.799,-93,No,5.374,-100
2950,Target Present,4,Yes,7.711,80,No,9.118,-70,No,7.541,-40,No,3.67,-100,,,,No,5.741,-70,No,5.92,-100
2951,Target Present,1,Yes,13.152,100,,,,No,13.083,-100,No,8.607,-100,No,9.475,-100,Yes,15.909,96,No,20.094,-100
2952,Target Absent,,,,,No,5.295,-84,No,2.459,-86,Yes,3.642,89,No,4.61,-85,No,2.367,-84,No,2.443,-80
2953,Target Absent,,,,,No,7.069,-60,No,4.466,-80,No,5.328,-90,No,4.724,-50,Yes,18.453,55,No,3.713,-100
2954,Target Present,6,Yes,10.07,91,No,13.447,-59,No,4.688,-100,No,12.47,-82,No,5.622,-100,No,6.186,-93,,,
2955,Target Absent,,,,,No,6.956,-85,No,6.082,-76,No,6.498,-77,No,11.571,-24,No,5.601,-42,No,7.744,-27
2956,Target Present,1,Yes,14.083,70,,,,No,5.942,-80,No,11.66,-70,No,6.634,-84,No,10.001,-87,No,8.143,-99
2957,Target Present,6,Yes,3.104,70,No,7.059,-79,No,7.644,-67,No,4.126,-83,No,5.956,-70,No,10.307,-59,,,
2958,Target Absent,,,,,No,9.979,-100,Yes,18.974,100,No,8.012,-100,No,9.826,-100,No,9.639,-100,No,7.672,-100
2959,Target Present,5,Yes,6.623,81,No,27.482,-56,No,6.861,-91,No,8.421,-81,No,8.721,-55,,,,No,5.537,-86
2960,Target Absent,,,,,Yes,12.932,30,No,8.586,-30,No,7.262,-82,No,8.388,-82,No,23.55,-30,No,7.26,-80
2961,Target Present,2,Yes,8.037,84,No,7.794,-100,,,,No,13.346,-100,Yes,14.936,42,No,10.001,-100,No,8.042,-100
2962,Target Absent,,,,,No,8.941,-65,No,5.549,-75,No,8.66,-55,No,3.224,-90,No,5.828,-95,No,5.225,-95
2963,Target Present,5,Yes,8.309,100,No,10.955,-42,Yes,11.227,93,No,6.078,-31,No,7.46,-16,,,,No,9.184,-5
2964,Target Present,3,Yes,16.059,71,No,5.823,-100,No,8.485,-100,,,,No,5.702,-100,No,7.25,-100,No,4.785,-100
2965,Target Absent,,,,,No,12.386,-32,No,7.618,-100,No,11.849,-51,No,8.378,-97,No,14.029,-51,Yes,6.646,69
2966,Target Present,5,No,4.156,56,No,13.42,-40,Yes,6.893,60,No,8.885,-57,No,5.462,-64,,,,No,6.276,-76
2967,Target Absent,,,,,No,4.351,-100,No,4.492,-100,No,4.011,-100,No,4.531,-100,No,2.904,-100,No,8.849,-80
2968,Target Present,6,Yes,7.164,84,No,5.646,-100,No,9.067,-28,No,6.742,-100,No,4.879,-78,No,7.815,-73,,,
2969,Target Present,4,Yes,4.783,100,No,5.566,-31,No,5.19,0,No,8.579,0,,,,No,4.37,-2,No,3.648,0
2970,Target Absent,,,,,Yes,14.697,81,No,5.314,-91,No,11.704,-55,No,9.035,-90,No,9.062,-76,No,5.362,-100
2971,Target Absent,,,,,No,4.46,-92,Yes,8.062,67,Yes,5.276,59,No,3.533,-91,No,3.906,-89,No,4.703,-91
2972,Target Present,1,Yes,8.604,100,,,,No,10.141,-100,No,5.987,-100,No,6.955,-69,No,5.694,-100,No,5.902,-100
2973,Target Absent,,,,,Yes,4.936,20,No,5.163,-24,No,5.277,-8,No,6.269,-96,No,4.777,-83,No,5.734,-71
2974,Target Present,6,Yes,11.16,25,No,19.822,-80,Yes,9.84,91,No,6.959,-81,No,27.893,-17,No,8.367,-88,,,
2975,Target Absent,,,,,No,7.293,-10,No,4.188,-10,Yes,3.694,10,Yes,4.123,20,Yes,3.862,30,No,4.25,-10
2976,Target Present,5,Yes,4.392,54,No,3.645,-62,Yes,3.837,58,No,4.988,-51,No,3.232,-51,,,,No,14.866,-60
2977,Target Present,1,No,9.297,90,,,,No,14.512,-72,No,7.332,-100,Yes,7.188,82,No,5.58,-72,No,14.224,-28
2978,Target Present,4,Yes,4.308,100,No,5.822,-100,No,10.243,-31,No,4.56,-60,,,,No,4.976,-88,No,5.133,-88
2979,Target Absent,,,,,No,13.293,-61,No,5.092,-71,No,9.932,-66,No,7.994,-70,No,3.377,-90,No,4.623,-85
2980,Target Present,2,Yes,5.597,80,No,9.608,-75,,,,No,5.54,-80,No,3.023,-90,Yes,5.751,85,No,48.883,-70
2981,Target Present,3,Yes,6.409,95,No,6.294,-37,No,3.067,-80,,,,No,3.852,-85,No,2.487,-72,No,3.074,-71
