subNum,condition,lineupType,suspectPosition,suspectID,suspectConf,fill1ID,fill1Conf,fill2ID,fill2Conf,fill3ID,fill3Conf,fill4ID,fill4Conf,fill5ID,fill5Conf,fill6ID,fill6Conf
2950,Target Present,Showup,,Yes,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2951,Target Absent,Showup,,,NaN,No,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2952,Target Absent,Lineup,,,NaN,No,89,No,100,No,92,No,96,No,95,No,100
2953,Target Present,Lineup,pos 3,No,69,No,100,No,81,NaN,NaN,No,76,No,82,Yes,70
2954,Target Absent,Showup,,,NaN,No,37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2955,Target Present,Showup,,Yes,55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2956,Target Absent,Lineup,,,NaN,No,93,No,26,No,62,No,47,No,66,Yes,66
2957,Target Absent,Showup,,,NaN,Yes,51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2958,Target Present,Lineup,pos 2,Yes,80,No,75,NaN,NaN,No,100,No,30,No,100,No,30
2959,Target Absent,Showup,,,NaN,No,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2960,Target Absent,Showup,,,NaN,No,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2961,Target Present,Lineup,pos 1,Yes,90,NaN,NaN,No,92,No,92,No,62,No,91,No,61
2962,Target Present,Showup,,Yes,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2963,Target Present,Showup,,Yes,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2964,Target Absent,Lineup,,,NaN,No,100,No,100,No,100,No,100,No,100,No,100
2965,Target Present,Lineup,pos 4,No,97,No,97,No,100,Yes,65,NaN,NaN,No,90,Yes,80
2966,Target Present,Showup,,Yes,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2967,Target Absent,Lineup,,,NaN,No,91,No,81,No,92,No,61,No,76,No,51
2968,Target Present,Showup,,Yes,52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2969,Target Present,Lineup,pos 5,No,39,Yes,18,Yes,60,No,81,No,92,NaN,NaN,No,84
2970,Target Absent,Lineup,,,NaN,No,70,No,80,No,91,Yes,52,No,100,No,100
2971,Target Present,Lineup,pos 5,Yes,82,No,100,Yes,92,No,100,No,100,NaN,NaN,No,100
2972,Target Absent,Showup,,,NaN,No,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2973,Target Absent,Lineup,,,NaN,No,72,No,71,Yes,92,No,64,No,76,No,77
2974,Target Absent,Lineup,,,NaN,No,41,No,100,No,100,No,40,No,100,No,76
2975,Target Present,Showup,,Yes,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2976,Target Absent,Lineup,,,NaN,No,40,No,60,No,61,Yes,82,No,79,No,67
2977,Target Absent,Showup,,,NaN,No,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
