Subject;Subject_gender;Subject_age;Subject_language;Subject_nationality;Subject_height;Presentation_order;Target;TP_or_TA;SIM_or_SEQ;Selected_image;Response;Identification_yes_or_no;Rejection_yes_or_no;TP_identification;TA_rejection;Confidence;Response_time;Recognise_chosen;Recognise_other;Seq_image1;Seq_image1_choice;Seq_image1_time;Seq_image2;Seq_image2_choice;Seq_image2_time;Seq_image3;Seq_image3_choice;Seq_image3_time;Seq_image4;Seq_image4_choice;Seq_image4_time;Seq_image5;Seq_image5_choice;Seq_image5_time;Seq_image6;Seq_image6_choice;Seq_image6_time;Seq_image7;Seq_image7_choice;Seq_image7_time;Seq_image8;Seq_image8_choice;Seq_image8_time;Sim_row1_image1;Sim_row1_image2;Sim_row1_image3;Sim_row1_image4;Sim_row2_image1;Sim_row2_image2;Sim_row2_image3;Sim_row2_image4;Distance_actual
3;man;48;Finnish;Finland;182;3;T4;TA;SEQ;no image chosen;1;0;1;NA;1;0;17.973;0;0;T4_Foil_2.jpg;0;6.908;T4_Foil_5.jpg;0;2.657;T4_Foil_7.jpg;0;1.292;T4_Foil_4.jpg;0;1.399;T4_Foil_6.jpg;0;1.044;T4_Foil_3.jpg;0;1.281;T4_Foil_1.jpg;0;1.886;T4_Extra.jpg;0;1.506;NA;NA;NA;NA;NA;NA;NA;NA;110
3;man;48;Finnish;Finland;182;4;T2;TA;SEQ;T2_Foil_5.jpg;0;1;0;NA;0;34;7.04;0;0;T2_Foil_2.jpg;0;2.912;T2_Foil_3.jpg;0;0.997;T2_Foil_6.jpg;0;1.292;T2_Foil_5.jpg;1;1.839;T2_Foil_4.jpg;0;0;T2_Foil_1.jpg;0;0;T2_Foil_7.jpg;0;0;T2_Extra_T.jpg;0;0;NA;NA;NA;NA;NA;NA;NA;NA;30
4;man;12;Finnish;Finland;150;1;T1;TA;SEQ;T1_Foil_3.jpg;0;1;0;NA;0;40;38.004;0;0;T1_Foil_6.jpg;0;12.112;T1_Foil_3.jpg;1;25.892;T1_Foil_1.jpg;0;0;T1_Foil_5.jpg;0;0;T1_Foil_4.jpg;0;0;T1_Foil_2.jpg;0;0;T1_Extra.jpg;0;0;T1_Foil_7.jpg;0;0;NA;NA;NA;NA;NA;NA;NA;NA;25
4;man;12;Finnish;Finland;150;2;T2;TA;SEQ;T2_Foil_2.jpg;0;1;0;NA;0;46;5.056;0;0;T2_Foil_2.jpg;1;5.056;T2_Foil_4.jpg;0;0;T2_Foil_7.jpg;0;0;T2_Foil_1.jpg;0;0;T2_Foil_6.jpg;0;0;T2_Extra_T.jpg;0;0;T2_Foil_3.jpg;0;0;T2_Foil_5.jpg;0;0;NA;NA;NA;NA;NA;NA;NA;NA;90
4;man;12;Finnish;Finland;150;3;T3;TP;SEQ;T3_Foil_5.jpg;0;1;0;0;NA;31;12.195;0;0;T3_Foil_6.jpg;0;3.262;T3_Foil_3.jpg;0;1.171;T3_Foil_2.jpg;0;1.671;T3_Foil_4.jpg;0;1.221;T3_Foil_1.jpg;0;1.481;T3_Foil_7.jpg;0;1.872;T3_Foil_5.jpg;1;1.517;T3_Correct.jpg;0;0;NA;NA;NA;NA;NA;NA;NA;NA;15
4;man;12;Finnish;Finland;150;4;T4;TP;SEQ;T4_Foil_3.jpg;0;1;0;0;NA;43;3.053;0;0;T4_Foil_3.jpg;1;3.053;T4_Foil_2.jpg;0;0;T4_Foil_5.jpg;0;0;T4_Foil_4.jpg;0;0;T4_Foil_7.jpg;0;0;T4_Foil_6.jpg;0;0;T4_Correct.jpg;0;0;T4_Foil_1.jpg;0;0;NA;NA;NA;NA;NA;NA;NA;NA;70
5;woman;32;Finnish;Finland;165;1;T1;TA;SIM;T1_Foil_5.jpg;0;1;0;NA;0;84;7.89;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;T1_Foil_3.jpg;T1_Foil_4.jpg;T1_Foil_6.jpg;T1_Foil_5.jpg;T1_Foil_1.jpg;T1_Foil_7.jpg;T1_Foil_2.jpg;T1_Extra.jpg;30
5;woman;32;Finnish;Finland;165;2;T2;TP;SIM;no image chosen;0;0;1;0;NA;32;15.796;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;T2_Foil_5.jpg;T2_Correct.jpg;T2_Foil_6.jpg;T2_Foil_2.jpg;T2_Foil_3.jpg;T2_Foil_7.jpg;T2_Foil_4.jpg;T2_Foil_1.jpg;110
5;woman;32;Finnish;Finland;165;3;T3;TP;SIM;T3_Correct.jpg;1;1;0;1;NA;91;9.704;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;T3_Foil_7.jpg;T3_Correct.jpg;T3_Foil_5.jpg;T3_Foil_3.jpg;T3_Foil_6.jpg;T3_Foil_2.jpg;T3_Foil_4.jpg;T3_Foil_1.jpg;5
5;woman;32;Finnish;Finland;165;4;T4;TA;SIM;T4_Foil_5.jpg;0;1;0;NA;0;61;7.791;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;T4_Foil_6.jpg;T4_Foil_5.jpg;T4_Foil_1.jpg;T4_Foil_7.jpg;T4_Foil_3.jpg;T4_Foil_4.jpg;T4_Extra.jpg;T4_Foil_2.jpg;60
6;woman;20;Finnish;Finland;175;1;T1;TA;SIM;T1_Foil_4.jpg;0;1;0;NA;0;79;6.037;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;T1_Foil_2.jpg;T1_Foil_3.jpg;T1_Foil_7.jpg;T1_Foil_4.jpg;T1_Foil_5.jpg;T1_Foil_1.jpg;T1_Foil_6.jpg;T1_Extra.jpg;35
6;woman;20;Finnish;Finland;175;2;T2;TA;SIM;T2_Extra_T.jpg;0;1;0;NA;0;31;9.701;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;T2_Foil_3.jpg;T2_Foil_2.jpg;T2_Extra_T.jpg;T2_Foil_5.jpg;T2_Foil_4.jpg;T2_Foil_7.jpg;T2_Foil_6.jpg;T2_Foil_1.jpg;80
6;woman;20;Finnish;Finland;175;3;T3;TA;SIM;T3_Foil_1.jpg;0;1;0;NA;0;35;12.189;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;T3_Foil_2.jpg;T3_Foil_1.jpg;T3_Foil_3.jpg;T3_Foil_6.jpg;T3_Foil_4.jpg;T3_Foil_5.jpg;T3_Foil_7.jpg;T3_Extra.jpg;20
6;woman;20;Finnish;Finland;175;4;T4;TP;SIM;T4_Foil_7.jpg;0;1;0;0;NA;26;9.876;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;T4_Correct.jpg;T4_Foil_2.jpg;T4_Foil_1.jpg;T4_Foil_7.jpg;T4_Foil_6.jpg;T4_Foil_5.jpg;T4_Foil_3.jpg;T4_Foil_4.jpg;50
7;man;24;Finnish;Finland;187;1;T1;TA;SIM;no image chosen;1;0;1;NA;1;21;22.49;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;T1_Foil_2.jpg;T1_Foil_4.jpg;T1_Foil_5.jpg;T1_Extra.jpg;T1_Foil_7.jpg;T1_Foil_6.jpg;T1_Foil_1.jpg;T1_Foil_3.jpg;40
