ParticipantId,Experiment,LineupType,time_allfaces,above_median,,,,,
09b5ce42-ec71-4b8e-97bf-af01313750b7,Exp2,independent_simultaneous,80343,TRUE,,,,,
09be8269-c79e-4396-9941-bdd308d6be5d,Exp2,independent_simultaneous,55584,FALSE,,,,,
09d6e116-9cff-4676-9127-870d7d6cc169,Exp2,independent_simultaneous,289953,TRUE,,,,,
09f12092-898e-4b80-bcae-4167170ef1ad,Exp2,independent_simultaneous,110529,TRUE,,,,,
0a1a6c8e-3694-4429-b245-bfc97f78a8d5,Exp2,independent_simultaneous,110047,TRUE,,,,,
0a770879-bb41-43ea-a9ac-b2827eddb2ac,Exp2,independent_simultaneous,110286,TRUE,,,,,
0a8a0f6e-8502-404a-bcea-a6b68be9a438,Exp2,independent_simultaneous,97417,TRUE,,,,,
0a937047-8fa0-4cd7-8d74-6b161ce9edd1,Exp2,independent_simultaneous,68145,TRUE,,,,,
0a9d1cc2-12d9-4e94-bb16-026f066495ca,Exp2,independent_simultaneous,165767,TRUE,,,,,
0abaaa97-f87d-45a8-8ee0-e04a474a298a,Exp2,independent_simultaneous,96243,TRUE,,,,,
0ac64b6e-4233-4b2b-9549-4debeff1df99,Exp2,independent_simultaneous,60124,FALSE,,,,,
0acef06a-47e8-4521-95a1-ae7e5a77503d,Exp2,independent_simultaneous,93567,TRUE,,,,,
0adf3a16-21d8-49dd-ad3a-38a9b644e1c6,Exp2,independent_simultaneous,45830,FALSE,,,,,
0adfb251-9b36-4315-91f3-660cd840347f,Exp2,independent_simultaneous,53685,FALSE,,,,,
0aef966f-f6e9-4939-be27-f020d4609a1c,Exp2,independent_simultaneous,140977,TRUE,,,,,
0b0e32e5-fe13-4adf-b161-13b8aa2d814c,Exp2,independent_simultaneous,38350,FALSE,,,,,
0b24c7ff-bc58-4b86-b71d-e782ff0b9720,Exp2,independent_simultaneous,47139,FALSE,,,,,
0b36006f-bd53-4448-9e9e-0421a161ec3f,Exp2,independent_simultaneous,76407,TRUE,,,,,
0b6ac155-e544-4bc9-8d84-8f5830a8da56,Exp2,independent_simultaneous,28730,FALSE,,,,,
0b6eb355-dc9f-4f6e-84c0-b85d653fde30,Exp2,independent_simultaneous,144443,TRUE,,,,,
0b7245c2-4f80-4154-b085-977052c03ef8,Exp2,independent_simultaneous,161108,TRUE,,,,,
0b8a3de1-ee80-4d75-81aa-2b86fc0f0f6a,Exp2,independent_simultaneous,29756,FALSE,,,,,
0ba69bb1-bcbd-4a6a-965d-c5e43fddbf05,Exp2,independent_simultaneous,32369,FALSE,,,,,
0bb1dbad-6070-4291-8bfc-2bd4caf9f8b8,Exp2,independent_simultaneous,24453,FALSE,,,,,
0bbe0703-83f7-4aad-8d9e-3f733fc71dd7,Exp2,independent_simultaneous,37443,FALSE,,,,,
0bd44726-a5b2-47e3-b217-339bdf11fb9a,Exp2,independent_simultaneous,88078,TRUE,,,,,
