ParticipantId,ExperimentId,TrialNumber,time_allfaces_trial,above_median_trial
d34a1a1f-2247-45c0-bc29-cee9a488648f,198,5,20591,FALSE
d34a1a1f-2247-45c0-bc29-cee9a488648f,198,6,27043,TRUE
d34a1a1f-2247-45c0-bc29-cee9a488648f,198,7,21572,FALSE
d34a1a1f-2247-45c0-bc29-cee9a488648f,198,8,39023,TRUE
40f19707-fb7c-4726-a318-b0a79eaaa83d,200,1,42935,TRUE
40f19707-fb7c-4726-a318-b0a79eaaa83d,200,2,43628,TRUE
40f19707-fb7c-4726-a318-b0a79eaaa83d,200,3,33884,TRUE
40f19707-fb7c-4726-a318-b0a79eaaa83d,200,4,32789,TRUE
40f19707-fb7c-4726-a318-b0a79eaaa83d,200,5,30106,TRUE
40f19707-fb7c-4726-a318-b0a79eaaa83d,200,6,26189,TRUE
40f19707-fb7c-4726-a318-b0a79eaaa83d,200,7,26086,TRUE
40f19707-fb7c-4726-a318-b0a79eaaa83d,200,8,49543,TRUE
6ef0f0d2-8723-48b7-9ce4-3c56a17eff91,202,1,16382,FALSE
6ef0f0d2-8723-48b7-9ce4-3c56a17eff91,202,2,57868,TRUE
6ef0f0d2-8723-48b7-9ce4-3c56a17eff91,202,3,17802,FALSE
6ef0f0d2-8723-48b7-9ce4-3c56a17eff91,202,4,29392,TRUE
6ef0f0d2-8723-48b7-9ce4-3c56a17eff91,202,5,16872,FALSE
6ef0f0d2-8723-48b7-9ce4-3c56a17eff91,202,6,17596,FALSE
6ef0f0d2-8723-48b7-9ce4-3c56a17eff91,202,7,25107,FALSE
6ef0f0d2-8723-48b7-9ce4-3c56a17eff91,202,8,17879,FALSE
321230bd-2168-4c87-9e00-766217ba6392,204,1,41751,TRUE
321230bd-2168-4c87-9e00-766217ba6392,204,2,24266,FALSE
321230bd-2168-4c87-9e00-766217ba6392,204,3,28284,TRUE
321230bd-2168-4c87-9e00-766217ba6392,204,4,30046,TRUE
321230bd-2168-4c87-9e00-766217ba6392,204,5,23887,FALSE
321230bd-2168-4c87-9e00-766217ba6392,204,6,24058,FALSE
321230bd-2168-4c87-9e00-766217ba6392,204,7,25333,TRUE
321230bd-2168-4c87-9e00-766217ba6392,204,8,26703,TRUE
2b225f56-a8ce-4d39-a3ea-a6ab110b312d,208,1,61069,TRUE
2b225f56-a8ce-4d39-a3ea-a6ab110b312d,208,2,40444,TRUE
2b225f56-a8ce-4d39-a3ea-a6ab110b312d,208,3,35111,TRUE
2b225f56-a8ce-4d39-a3ea-a6ab110b312d,208,4,27773,TRUE
2b225f56-a8ce-4d39-a3ea-a6ab110b312d,208,5,33176,TRUE
2b225f56-a8ce-4d39-a3ea-a6ab110b312d,208,6,21561,FALSE
2b225f56-a8ce-4d39-a3ea-a6ab110b312d,208,7,28459,TRUE
2b225f56-a8ce-4d39-a3ea-a6ab110b312d,208,8,23975,FALSE
451eb6f0-88dc-4328-ad18-b54915accbda,210,1,102504,TRUE
451eb6f0-88dc-4328-ad18-b54915accbda,210,2,51670,TRUE
451eb6f0-88dc-4328-ad18-b54915accbda,210,3,65070,TRUE
451eb6f0-88dc-4328-ad18-b54915accbda,210,4,46684,TRUE
451eb6f0-88dc-4328-ad18-b54915accbda,210,5,35479,TRUE
451eb6f0-88dc-4328-ad18-b54915accbda,210,6,29355,TRUE
451eb6f0-88dc-4328-ad18-b54915accbda,210,7,34686,TRUE
451eb6f0-88dc-4328-ad18-b54915accbda,210,8,31194,TRUE
eb707c4f-f1dd-4760-bae2-b4ffc9467309,212,1,53767,TRUE
eb707c4f-f1dd-4760-bae2-b4ffc9467309,212,2,37764,TRUE
eb707c4f-f1dd-4760-bae2-b4ffc9467309,212,3,40862,TRUE
eb707c4f-f1dd-4760-bae2-b4ffc9467309,212,4,22657,FALSE
eb707c4f-f1dd-4760-bae2-b4ffc9467309,212,5,22859,FALSE
eb707c4f-f1dd-4760-bae2-b4ffc9467309,212,6,24999,FALSE
eb707c4f-f1dd-4760-bae2-b4ffc9467309,212,7,24046,FALSE
eb707c4f-f1dd-4760-bae2-b4ffc9467309,212,8,25935,TRUE
75d0cf07-3be4-433b-9b8c-b0e9158220e9,218,1,29829,TRUE
75d0cf07-3be4-433b-9b8c-b0e9158220e9,218,2,28438,TRUE
75d0cf07-3be4-433b-9b8c-b0e9158220e9,218,3,24594,FALSE
75d0cf07-3be4-433b-9b8c-b0e9158220e9,218,4,25663,TRUE
75d0cf07-3be4-433b-9b8c-b0e9158220e9,218,5,31484,TRUE
75d0cf07-3be4-433b-9b8c-b0e9158220e9,218,6,24753,FALSE
75d0cf07-3be4-433b-9b8c-b0e9158220e9,218,7,26234,TRUE
75d0cf07-3be4-433b-9b8c-b0e9158220e9,218,8,29026,TRUE
8b2c27e6-81dc-4bc0-9a3c-1d5650c2e42f,221,1,29064,TRUE
8b2c27e6-81dc-4bc0-9a3c-1d5650c2e42f,221,2,19201,FALSE
8b2c27e6-81dc-4bc0-9a3c-1d5650c2e42f,221,3,25666,TRUE
8b2c27e6-81dc-4bc0-9a3c-1d5650c2e42f,221,4,23620,FALSE
8b2c27e6-81dc-4bc0-9a3c-1d5650c2e42f,221,5,23273,FALSE
8b2c27e6-81dc-4bc0-9a3c-1d5650c2e42f,221,6,23586,FALSE
8b2c27e6-81dc-4bc0-9a3c-1d5650c2e42f,221,7,23753,FALSE
8b2c27e6-81dc-4bc0-9a3c-1d5650c2e42f,221,8,17856,FALSE
f871bf1b-4a45-4dc3-a9bc-b9e69f875088,222,1,24584,FALSE
f871bf1b-4a45-4dc3-a9bc-b9e69f875088,222,2,22470,FALSE
