ExperimentId,ParticipantId,SexId,Age,EthnicityId,StartDate,EndDate,TrialNumber,"Approximately what percentage of the students in the high school you attended were ""South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lankan )"" / ""White""?","How many ""South Asian"" / ""White"") friends did you have in High School?","Approximately what percentage of the people in the neighborhood in which you grew up were ""South Asian"" / ""White""","In an average week's time, approximately how many ""South Asian"" / ""White"" people do you have conversations with?","In your area, how many ""South Asians"" / ""Whites"" do you know on a first name basis who also know you on a first name basis?","Of your nine closest friends, how many are ""South Asian"" / ""White""","How many times have you gone out with or dated a ""South Asian"" / ""White"") person?","Approximately what percentage of the people that you view / interact with on social media are ""South Asian"" / ""White""","Approximately what percentage of the people that you watch in TV programmes / movies are ""South Asian"" / ""White""","The crime video played smoothly (played all the way through, did not buffer etc.)",The sequence of faces was displayed clearly (loaded promptly etc.),"MyRace (""How would you describe YOUR OWN race / ethnicity?"")",ParticipantPerpetrator present (yes/no),Face picked,Confidence,Face1.jpeg,Face2.jpeg,Face3.jpeg,Face4.jpeg,Face5.jpeg,Face6.jpeg,AttentionCheck,Face (.jpeg) picked,Correct,SaidAbsentorPresent,TargetPresent,IDResponse,CrimeWatched,PerpRace,SubjectRace,OwnRace,LineupType,AttentionCheckCorrect,CorrectSubjectRace,Include
291,6c12b6b2-d76c-4434-9538-76c7b408ba37,F,24,south_asian,02/05/2018,02/05/2018,7,7,2,6,4,2,1,0,6,6,5,5,Asian Indian,yes,4,70,6,1,3,2,5,4,car,2,0,present,no,foil,car,south_asian,south_asian,ownRace,static,yes,yes,yes
291,6c12b6b2-d76c-4434-9538-76c7b408ba37,F,24,south_asian,02/05/2018,02/05/2018,8,7,2,6,4,2,1,0,6,6,5,5,Asian Indian,yes,4,60,2,5,3,1,4,6,car,1,0,present,no,foil,car,caucasian,south_asian,otherRace,static,yes,yes,yes
292,5fef58e5-ecc6-476c-ae26-86bc39778ff8,M,19,south_asian,11/05/2018,11/05/2018,1,8,4,8,5,9,4,0,7,9,5,5,Asian Pakistani,yes,5,100,1,3,2,4,6,5,car,6,1,present,yes,perpetrator,car,caucasian,south_asian,otherRace,interactive,yes,yes,yes
292,5fef58e5-ecc6-476c-ae26-86bc39778ff8,M,19,south_asian,11/05/2018,11/05/2018,2,8,4,8,5,9,4,0,7,9,5,5,Asian Pakistani,yes,1,80,3,5,6,1,4,2,drinkspiking,3,0,present,no,foil,drinkspiking,south_asian,south_asian,ownRace,interactive,yes,yes,yes
292,5fef58e5-ecc6-476c-ae26-86bc39778ff8,M,19,south_asian,11/05/2018,11/05/2018,3,8,4,8,5,9,4,0,7,9,5,5,Asian Pakistani,yes,5,100,1,3,2,5,6,4,car,6,1,present,yes,perpetrator,car,south_asian,south_asian,ownRace,interactive,yes,yes,yes
292,5fef58e5-ecc6-476c-ae26-86bc39778ff8,M,19,south_asian,11/05/2018,11/05/2018,4,8,4,8,5,9,4,0,7,9,5,5,Asian Pakistani,no,,80,1,6,2,3,5,4,drinkspiking,absent,1,absent,no,reject,drinkspiking,caucasian,south_asian,otherRace,interactive,yes,yes,yes
292,5fef58e5-ecc6-476c-ae26-86bc39778ff8,M,19,south_asian,11/05/2018,11/05/2018,5,8,4,8,5,9,4,0,7,9,5,5,Asian Pakistani,yes,6,60,3,6,4,1,5,2,laptop,2,0,present,no,foil,laptop,caucasian,south_asian,otherRace,interactive,yes,yes,yes
292,5fef58e5-ecc6-476c-ae26-86bc39778ff8,M,19,south_asian,11/05/2018,11/05/2018,6,8,4,8,5,9,4,0,7,9,5,5,Asian Pakistani,yes,3,100,2,4,6,3,1,5,burglary,6,1,present,yes,perpetrator,burglary,caucasian,south_asian,otherRace,interactive,yes,yes,yes
292,5fef58e5-ecc6-476c-ae26-86bc39778ff8,M,19,south_asian,11/05/2018,11/05/2018,7,8,4,8,5,9,4,0,7,9,5,5,Asian Pakistani,yes,2,100,3,6,1,4,2,5,burglary,6,1,present,yes,perpetrator,burglary,south_asian,south_asian,ownRace,interactive,yes,yes,yes
292,5fef58e5-ecc6-476c-ae26-86bc39778ff8,M,19,south_asian,11/05/2018,11/05/2018,8,8,4,8,5,9,4,0,7,9,5,5,Asian Pakistani,no,,100,5,4,6,1,2,3,laptop,absent,1,absent,no,reject,laptop,south_asian,south_asian,ownRace,interactive,yes,yes,yes
