ParticipantId,Gender,Age,Race / ethnicity,ParticipantPerpetrator present (yes/no),Face picked,Confidence,My Race,Start Date,Finish Date,"Approximately what percentage of the students in the high school you attended were ""South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lankan )"" / ""White""?","How many ""South Asian"" / ""White"") friends did you have in High School?","Approximately what percentage of the people in the neighborhood in which you grew up were ""South Asian"" / ""White""","In an average week's time, approximately how many ""South Asian"" / ""White"" people do you have conversations with?","In your area, how many ""South Asians"" / ""Whites"" do you know on a first name basis who also know you on a first name basis?","Of your nine closest friends, how many are ""South Asian"" / ""White""","How many times have you gone out with or dated a ""South Asian"" / ""White"") person?","Approximately what percentage of the people that you view / interact with on social media are ""South Asian"" / ""White""","Approximately what percentage of the people that you watch in TV programmes / movies are ""South Asian"" / ""White""",ContactSum,"The crime video played smoothly (played all the way through, did not buffer etc.)",The sequence of faces was displayed clearly (loaded promptly etc.),AttentionCheck,Face1.jpeg,Face2.jpeg,Face3.jpeg,Face4.jpeg,Face5.jpeg,Face6.jpeg,Face(.jpeg)picked,Correct,SaidAbsentorPresent,IDResponse,CrimeWatched,TargetPresent,PerpRace,SubjectRace,OwnRace,LineupType,CorrectSubjectRace,AttentionCheckCorrect,PlayedSmoothly,FirstComplete,IncludeFinalSample,Recruited from?
0b6eb355-dc9f-4f6e-84c0-b85d653fde30,Female,21,"South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lankan)",yes,1,70,Asian Indian,16/07/2018,16/07/2018,6.00,1.00,4.00,5.00,7.00,4.00,0.00,7.00,8.00,42,4,4,mugging,3,2,6,1,4,5,3,0,present,foil,mugging,no,south_asian,south_asian,ownRace,independent_simultaneous,yes,yes,yes,,yes,CIND
b6455649-03e4-42f5-9c53-ac0fe4bae664,Female,22,"South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lankan)",yes,2,80,Asian Indian,16/07/2018,16/07/2018,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,8,5,5,car,1,6,4,3,2,5,6,0,present,foil,car,no,caucasian,south_asian,otherRace,sequential,yes,yes,yes,,yes,CIND
cf12ec1a-b80a-453d-a33b-34bce701b776,Male,26,"South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lankan)",yes,1,100,Asian Indian,16/07/2018,16/07/2018,1.00,1.00,1.00,1.00,7.00,9.00,7.00,5.00,4.00,36,5,4,car,6,2,4,3,5,1,6,1,present,perpetrator,car,yes,caucasian,south_asian,otherRace,sequential,yes,yes,yes,,yes,CIND
1a072080-23c6-4697-b0f0-c9881cbe54ae,Male,29,"South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lankan)",no,,90,Asian Indian,16/07/2018,16/07/2018,3.00,6.00,3.00,4.00,4.00,8.00,7.00,2.00,3.00,40,5,5,mugging,3,2,6,1,5,4,absent,1,absent,reject,mugging,no,caucasian,south_asian,otherRace,independent_simultaneous,yes,yes,yes,,yes,CIND
30c8a9f7-42ea-4d86-86cb-462518e01ace,Female,21,"South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lankan)",no,,90,Asian Indian,16/07/2018,16/07/2018,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,8,5,5,car,4,1,5,3,2,6,absent,1,absent,reject,car,no,south_asian,south_asian,ownRace,sequential,yes,yes,yes,,yes,CIND
5ce5820e-2273-4893-9b49-b95e2e39785c,Female,20,"South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lankan)",yes,4,90,Asian Indian,16/07/2018,16/07/2018,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,5,money,5,4,6,3,2,1,3,0,present,foil,money,no,caucasian,south_asian,otherRace,sequential,yes,yes,yes,,yes,CIND
fbffddcc-3656-4753-a859-5629e71e4e0c,Male,28,"South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lankan)",no,,70,Asian Indian,16/07/2018,16/07/2018,1.00,5.00,3.00,6.00,5.00,6.00,2.00,5.00,7.00,40,5,4,car,6,5,4,1,3,2,absent,1,absent,reject,car,no,caucasian,south_asian,otherRace,joint_simultaneous,yes,yes,yes,,yes,CIND
e92c6e97-134d-4244-9a6a-81cfa2418fe4,Female,32,"South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lankan)",yes,6,80,Asian Indian,16/07/2018,16/07/2018,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,5.00,7,5,5,car,3,5,4,2,1,6,6,1,present,perpetrator,car,yes,caucasian,south_asian,otherRace,joint_simultaneous,yes,yes,yes,,yes,CIND
9ddec403-afd2-435e-b40c-14f0c6aaa428,Female,31,"South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lankan)",yes,4,90,Asian Indian,16/07/2018,16/07/2018,2.00,6.00,4.00,6.00,9.00,8.00,9.00,3.00,4.00,51,5,5,car,2,5,1,6,3,4,6,1,present,perpetrator,car,yes,south_asian,south_asian,ownRace,joint_simultaneous,yes,yes,yes,,yes,CIND
5b75c6e1-2004-4edc-b7af-5136bf555fbc,Male,29,"South Asian (e.g., Bangladeshi, Indian, Pakistani, Sri Lankan)",yes,6,100,Asian Indian,16/07/2018,16/07/2018,1.00,9.00,3.00,2.00,0.00,3.00,9.00,5.00,5.00,37,5,5,money,4,3,2,1,5,6,6,1,present,perpetrator,money,yes,caucasian,south_asian,otherRace,sequential,yes,yes,yes,,yes,CIND
